timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
467882119,467881970,0.9297329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
467979774,467979619,0.9307471,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
468079929,468079773,0.9383909,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
468180078,468179926,0.9325523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
468280233,468280079,0.92177826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
468382882,468382736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
468480532,468480386,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
468580701,468580539,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
468680846,468680692,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
468780993,468780846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
468878644,468878495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
468981304,468981152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
469081479,469081305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
469181169,469180870,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
469282504,469282238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
469378919,469378660,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
469480281,469480027,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
469579212,469578922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
469680548,469680289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
469781917,469781657,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
469880808,469880552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
469982229,469981919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
470078605,470078341,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
470179969,470179709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
470278901,470278604,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
470380230,470379971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
470481595,470481338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
470580499,470580233,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
470681857,470681601,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
470780776,470780496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
470882118,470881863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
470978540,470978286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
471079943,471079653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
471181288,471181020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
471280177,471279916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
471381543,471381283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
471480442,471480178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
471581808,471581545,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
471678229,471677968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
471779632,471779335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
471880966,471880703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
471979860,471979598,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
472081226,472080965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
472180184,472179860,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
472281532,472281227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
472377914,472377650,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
472481783,472481490,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
472583128,472582857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
472679560,472679280,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
472780905,472780647,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
472879832,472879542,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
472981169,472980910,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
473080089,473079805,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
473181432,473181172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
473282834,473282540,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
473379221,473378963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
473480606,473480330,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
473579495,473579225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
473680996,473680847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
473778677,473778496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
473881298,473881153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
473981449,473981306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
474079102,474078955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
474181759,474181613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
474279413,474279262,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
474382067,474381919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
474479717,474479569,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
474579867,474579722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
474682531,474682380,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
474780181,474780029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
474882832,474882686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
474980480,474980336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
475080646,475080489,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
475178284,475178138,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
475280941,475280796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
475381132,475380949,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
475481290,475481102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
475581409,475581256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
475679061,475678905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
475781786,475781563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
475879370,475879212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
475979525,475979365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
476082189,476082023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
476179825,476179672,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
476282485,476282329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
476380133,476379979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
